cod_prod,descr_resumida,descr_detalhada,preco,unidade
004FBR1634,FB 102 FE/PU RO,RODIZIO DE AÇO FIXO FM 102 UFS 10,183,PECA
004GBR1635,GB 102 FE/PU RO,RODIZIO DE AÇO GIRATÓRIO GM 102 UFS 10,252,PECA
004RO1484,KIT 3/8 - L14,KIT PARAFUSO E PORCA 3/8x67 DA LINHA 14 LEVE,1.2,PECA
004RO2121,RO 205 BM RO,RODA 30CM DIAMETRO RL 205 COM ROLAMENTO DE ESFERA,103.7,PECA
004RO2122,RO 102 FE/PU RO,RODA 102 Ferro com PU Rolamento,203.83,PECA
004RO2147,RO 82 BI B,"RODA BORRACHA INTEGRAL 200X50X56 - 8"" FP-7/8 - RBIN82FP0708",15.7,PECA
004RO2149,RO 92 BI B,"RODA BORRACHA INTEGRAL 225X50X56 - 9"" C/BUCHA7/8",20.55,PECA
004RO2158,RO 102 BI B,"RODA BORRACHA INTEGRAL 250X50X56 - 10"" FP-7/8; RBIN102FP0708",24.29,PECA
004RO2160,RO 123 BI B,"RODA BORRACHA INTEGRAL 300X50X70 - 12"" FP-1""; RBIN123FP2540",37.56,PECA
012FR121984,FR L12 FERRO,FREIO COMPLETO LINHA 12 COM MOLA E CAIXINHA,3.34,PECA
012RO1137,KIT 5/16 - L12,KIT PARAFUSO E PORCA 5/16x53 DA LINHA 12,0.86,PECA
012RO1959,KIT 5/16 PLK - L12,KIT PARAFUSO E PORCA PARLOCK 5/16x53 LINHA 12,0.95,PECA
111CA30,CANTONEIRA L,CANTONEIRA ESQUADRO OU L,0.18,PECA
114BU1053,BP 1/2,BUCHA PARA RODIZIO DE AÇO DE PINO DE 1/2,0.11,PECA
114BU860,BP 5/8,BUCHA PARA RODIZIO DE AÇO DE PINO DE 5/8,0.13,PECA
114FBL1054,FB 114 NY PTA,RODIZIO DE AÇO FIXO 114 COM RODA NYLON PRETA,1.65,PECA
114FBL1063,FB 114 GR,RODIZIO DE AÇO FIXO 114 SEM RODA E COM REBITE,0.7573,PECA
114FBL31,FB 114 PP PTA,RODIZIO DE AÇO FIXO 114 COM RODA PP PRETA,1.3,PECA
004RO1632,RO 12 PU MO,"RODA DE PU MOLDADO MODELO R123UFL 12"" (300X70X78MM)",320,PECA
004RO1988,KIT 7/16 PLK - L14R,"KIT PARAFUSO E PORCA PARLOCK 7/16x2""3/4  LINHA 14",1.64,PECA
114FBL33,FB 114 PP BCA,RODIZIO DE AÇO FIXO 114 COM RODA PP BRANCA,1.3,PECA
114FBL34,FB 114 CRISTAL,RODIZIO DE AÇO FIXO 114 COM RODA CRISTAL,1.51,PECA
114GBL1055,GB 114 NY PTA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA NYLON PRETA,2.08,PECA
114GBL1064,GB 114 GR,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 SEM RODA E COM REBITE,1.36,PECA
114GBL1071,GB 114 PP PTA CROM,RODIZIO DE AÇO GIRATORIO DE BASE LINHA 114 COM RODA PP PTA CROMADO,2.47,PECA
114GBL1072,GB 114 CRISTAL CROM,RODIZIO DE AÇO GIRATORIO DE BASE LINHA 114 COM RODA CRISTAL CROMADO,2.75,PECA
114GBL1647,BA 114,RODIZIO DE AÇO GIRATORIO 114 SOMENTE BASE,0.26,PECA
114GBL1648,GB 114 G,RODIZIO DE AÇO GIRATORIO 114 SOMENTE GARFO,0.4047,PECA
114GBL35,GB 114 PP PTA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA PP PRETA,1.72,PECA
114GBL36,GB 114 PP CZA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA PP CINZA,1.72,PECA
114GBL37,GB 114 PP BCA,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA PP BRANCA,1.72,PECA
114PBL1052,PB 114 PP PTA SB,RODIZIO DE AÇO COM PINO 114 COM RODA PP PTA SEM BUCHA,1.3442,PECA
114GBL38,GB 114 CRISTAL,RODIZIO DE AÇO GIRATÓRIO DE BASE 114 COM RODA CRISTAL,2,PECA
114PBL1056,PB 114 NY PTA B5/8,RODIZIO DE AÇO COM PINO 114 COM RODA NY PTA BUCHA 5/8,2.05,PECA
114PBL1057,PB 114 NY PTA B1/2,RODIZIO DE AÇO COM PINO 114 COM RODA NY PTA BUCHA 1/2,2,PECA
114PBL1058,PB 114 PP BCA SB,RODIZIO DE AÇO COM PINO 114 COM RODA PP BCA SEM BUCHA,1.3442,PECA
114PBL1060,PB 114 CRISTAL SB,RODIZIO DE AÇO COM PINO 114 COM RODA CRISTAL SEM BUCHA,0.9516,PECA
114PBL1059,PB 114 PP CZA SB,RODIZIO DE AÇO COM PINO 114 COM  RODA PP PTA SEM BUCHA,1.3442,PECA
114PBL1061,PB 114 NY PTA SB,RODIZIO DE AÇO COM PINO 114 COM RODA NY PTA SEM BUCHA,1.7368,PECA
114PBL1065,PB 114 GR B1/2,RODIZIO DE AÇO COM PINO 114 COM BUCHA 1/2 SEM RODA COM REBITE,1.16,PECA
114PBL1066,PB 114 GR B5/8,RODIZIO DE AÇO COM PINO 114 COM BUCHA 5/8 SEM RODA COM REBITE,1.23,PECA
114PBL1067,CV PB 114,CAVALETE  RODIZIO DE AÇO 114,0.4212,PECA
114PBL39,PB 114 PP PTA B1/2,RODIZIO DE AÇO COM PINO RODA 114 PP PTA BUCHA 1/2,1.58,PECA
114FBL32,FB 114 PP CZA,RODIZIO DE AÇO FIXO 114 COM RODA PP CINZA,1.3,PECA
114PBL40,PB 114 PP CZA B1/2,RODIZIO DE AÇO COM PINO RODA 114 PP CZA BUCHA 1/2,1.58,PECA
114PBL41,PB 114 PP BCA B1/2,RODIZIO DE AÇO COM PINO RODA 114 PP BCA BUCHA 1/2,1.58,PECA
114PBL42,PB 114 CRISTAL B1/2,RODIZIO DE AÇO COM PINO RODA 114 CRISTAL BUCHA 1/2,1.84,PECA
114PBL703,PB 114 PP BCA B5/8,RODIZIO DE AÇO COM PINO RODA 114 PP BCA BUCHA 5/8,1.63,PECA
114PBL704,PB 114 PP CZA B5/8,RODIZIO DE AÇO COM PINO RODA 114 PP CZA BUCHA 5/8,1.63,PECA
114PBL705,PB 114 PP PTA B5/8,RODIZIO DE AÇO COM PINO RODA 114 PP PTA BUCHA 5/8,1.63,PECA
114PBL706,PB 114 CRISTAL B5/8,RODIZIO DE AÇO COM PINO RODA 114 CRISTAL BUCHA 5/8,1.87,PECA
114RO01,RO 114 PP PTA,RODA 114 PP PRETA,0.35,PECA
114RO02,RO 114 PP BCA,RODA 114 PP BRANCA,0.35,PECA
114RO03,RO 114 PP CZA,RODA 114 PP CINZA,0.35,PECA
114RO04,RO 114 CRISTAL,RODA 114 CRISTAL,0.5,PECA
114RO615,RO 114 NY PTA,RODA 114 NY PTA,0.5,PECA
158FBD1148,FBD 158 GR,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO SEM RODA 158 E REBITE,3.94,PECA
158FBD1884,FBD 158 BP VER,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP VERMELHA,6.17,PECA
158FBD1885,FBD 158 ZK,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 ZAMAK,13.18,PECA
158FBD269,FBD 158 PP CZA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 PP CINZA,4.19,PECA
158FBD209,FBD 158 BP AZU,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP AZUL,6.17,PECA
158FBD46,FBD 158 BP PTA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP PRETA,6.17,PECA
158FBD44,FBD 158 NY PTA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 NYLON 4 FUROS,5.75,PECA
158FBD45,FBD 158 BP CZA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP CINZA,6.17,PECA
158FBD47,FBD 158 BP BCA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP BRANCA,6.17,PECA
158FBD48,FBD 158 BP GEL,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 BP GEL,7.07,PECA
158FBD679,FBD 158 NY REF,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 NYLON REFORÇADA,5.98,PECA
158FBD787,FBD 158 PP PTA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 PP PRETA,4.19,PECA
158FBD788,FBD 158 PP BCA,RODIZIO DE AÇO FIXO DE BASE 158 DUPLO COM RODA 158 PP BRANCA,4.19,PECA
